Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 11:05:37:0384;1366016737384;179.5;;;;;;;;;;
2013-04-15 11:05:37:0621;1366016737621;179.5;;;;;;;;;;
2013-04-15 11:05:37:0872;1366016737872;179.5;;;;;;;;;;
2013-04-15 11:05:38:0097;1366016738097;179.5;;;;;;;;;;
2013-04-15 11:05:38:0334;1366016738334;179.4;;;;;;;;;;
2013-04-15 11:05:38:0573;1366016738573;179.4;;;;;;;;;;
2013-04-15 11:05:38:0809;1366016738809;179.2;;;;;;;;;;
2013-04-15 11:05:39:0067;1366016739067;179.2;;;;;;;;;;
2013-04-15 11:05:39:0296;1366016739296;179.4;;;;;;;;;;
2013-04-15 11:05:39:0527;1366016739527;179.6;;;;;;;;;;
2013-04-15 11:05:39:0765;1366016739765;179.6;;;;;;;;;;
2013-04-15 11:05:40:0002;1366016740002;179.5;;;;;;;;;;
2013-04-15 11:05:40:0241;1366016740241;179.5;;;;;;;;;;
2013-04-15 11:05:40:0478;1366016740478;179.3;;;;;;;;;;
2013-04-15 11:05:40:0717;1366016740717;179.3;;;;;;;;;;
2013-04-15 11:05:40:0953;1366016740953;179.3;;;;;;;;;;
2013-04-15 11:05:41:0185;1366016741185;;;;68.0;;;;;;;
2013-04-15 11:05:41:0192;1366016741192;179.4;;;;;;;;;;
2013-04-15 11:05:41:0199;1366016741199;;;;;68;;;;;;
2013-04-15 11:05:41:0429;1366016741429;179.6;;;;;;;;;;
2013-04-15 11:05:41:0551;1366016741551;;;;68.0;;;;;;;
2013-04-15 11:05:41:0681;1366016741681;179.6;;;;;;;;;;
2013-04-15 11:05:41:0723;1366016741723;;;;;68;;;;;;
2013-04-15 11:05:41:0911;1366016741911;179.4;;;;;;;;;;
2013-04-15 11:05:41:0993;1366016741993;;;;68.0;;;;;;;
2013-04-15 11:05:42:0149;1366016742149;179.3;;;;;;;;;;
2013-04-15 11:05:42:0151;1366016742151;;;;;68;;;;;;
2013-04-15 11:05:42:0354;1366016742354;;;;68.0;;;;;;;
2013-04-15 11:05:42:0384;1366016742384;179.4;;;;;;;;;;
2013-04-15 11:05:42:0505;1366016742505;;;;;68;;;;;;
2013-04-15 11:05:42:0623;1366016742623;179.4;;;;;;;;;;
2013-04-15 11:05:42:0707;1366016742707;;;;68.0;;;;;;;
2013-04-15 11:05:42:0863;1366016742863;179.3;;;;;;;;;;
2013-04-15 11:05:42:0919;1366016742919;;;;;68;;;;;;
2013-04-15 11:05:43:0099;1366016743099;179.4;;;;;;;;;;
2013-04-15 11:05:43:0121;1366016743121;;;;68.0;;;;;;;
2013-04-15 11:05:43:0315;1366016743315;;;;;68;;;;;;
2013-04-15 11:05:43:0336;1366016743336;179.4;;;;;;;;;;
2013-04-15 11:05:43:0518;1366016743518;;;;68.0;;;;;;;
2013-04-15 11:05:43:0574;1366016743574;179.4;;;;;;;;;;
2013-04-15 11:05:43:0680;1366016743680;;;;;68;;;;;;
2013-04-15 11:05:43:0818;1366016743818;179.3;;;;;;;;;;
2013-04-15 11:05:43:0882;1366016743882;;;;68.0;;;;;;;
2013-04-15 11:05:44:0024;1366016744024;;;;;68;;;;;;
2013-04-15 11:05:44:0059;1366016744059;179.4;;;;;;;;;;
2013-04-15 11:05:44:0227;1366016744227;;;;68.0;;;;;;;
2013-04-15 11:05:44:0293;1366016744293;179.35;;;;;;;;;;
2013-04-15 11:05:44:0378;1366016744378;;;;;68;;;;;;
2013-04-15 11:05:44:0531;1366016744531;179.5;;;;;;;;;;
2013-04-15 11:05:44:0580;1366016744580;;;;68.0;;;;;;;
2013-04-15 11:05:44:0730;1366016744730;;;;;68;;;;;;
2013-04-15 11:05:44:0769;1366016744769;179.3;;;;;;;;;;
2013-04-15 11:05:44:0930;1366016744930;;;;68.0;;;;;;;
2013-04-15 11:05:45:0008;1366016745008;179.35;;;;;;;;;;
2013-04-15 11:05:45:0082;1366016745082;;;;;68;;;;;;
2013-04-15 11:05:45:0244;1366016745244;179.4;;;;;;;;;;
2013-04-15 11:05:45:0284;1366016745284;;;;68.0;;;;;;;
2013-04-15 11:05:45:0432;1366016745432;;;;;68;;;;;;
2013-04-15 11:05:45:0482;1366016745482;179.4;;;;;;;;;;
2013-04-15 11:05:45:0636;1366016745636;;;;68.0;;;;;;;
2013-04-15 11:05:45:0720;1366016745720;179.3;;;;;;;;;;
2013-04-15 11:05:45:0782;1366016745782;;;;;68;;;;;;
2013-04-15 11:05:45:0962;1366016745962;179.2;;;;;;;;;;
2013-04-15 11:05:45:0984;1366016745984;;;;68.0;;;;;;;
2013-04-15 11:05:46:0126;1366016746126;;;;;68;;;;;;
2013-04-15 11:05:46:0202;1366016746202;179.2;;;;;;;;;;
2013-04-15 11:05:46:0346;1366016746346;;;;68.0;;;;;;;
2013-04-15 11:05:46:0437;1366016746437;179.2;;;;;;;;;;
2013-04-15 11:05:46:0486;1366016746486;;;;;68;;;;;;
2013-04-15 11:05:46:0675;1366016746675;179.4;;;;;;;;;;
2013-04-15 11:05:46:0689;1366016746689;;;;68.0;;;;;;;
2013-04-15 11:05:46:0836;1366016746836;;;;;68;;;;;;
2013-04-15 11:05:46:0913;1366016746913;179.4;;;;;;;;;;
2013-04-15 11:05:47:0038;1366016747038;;;;68.0;;;;;;;
2013-04-15 11:05:47:0150;1366016747150;179.4;;;;;;;;;;
2013-04-15 11:05:47:0190;1366016747190;;;;;68;;;;;;
2013-04-15 11:05:47:0388;1366016747388;179.4;;;;;;;;;;
2013-04-15 11:05:47:0391;1366016747391;;;;68.0;;;;;;;
2013-04-15 11:05:47:0532;1366016747532;;;;;68;;;;;;
2013-04-15 11:05:47:0629;1366016747629;179.4;;;;;;;;;;
2013-04-15 11:05:47:0736;1366016747736;;;;68.0;;;;;;;
2013-04-15 11:05:47:0865;1366016747865;179.0;;;;;;;;;;
2013-04-15 11:05:47:0880;1366016747880;;;;;68;;;;;;
2013-04-15 11:05:48:0082;1366016748082;;;;68.0;;;;;;;
2013-04-15 11:05:48:0107;1366016748107;177.65;;;;;;;;;;
2013-04-15 11:05:48:0260;1366016748260;;;;;68;;;;;;
2013-04-15 11:05:48:0343;1366016748343;174.55;;;;;;;;;;
2013-04-15 11:05:48:0461;1366016748461;;;;68.0;;;;;;;
2013-04-15 11:05:48:0583;1366016748583;171.85;;;;;;;;;;
2013-04-15 11:05:48:0606;1366016748606;;;;;68;;;;;;
2013-04-15 11:05:48:0807;1366016748807;;;;68.0;;;;;;;
2013-04-15 11:05:48:0819;1366016748819;169.45;;;;;;;;;;
2013-04-15 11:05:48:0982;1366016748982;;;;;68;;;;;;
2013-04-15 11:05:49:0056;1366016749056;166.95;;;;;;;;;;
2013-04-15 11:05:49:0183;1366016749183;;;;68.0;;;;;;;
2013-04-15 11:05:49:0311;1366016749311;165.2;;;;;;;;;;
2013-04-15 11:05:49:0322;1366016749322;;;;;68;;;;;;
2013-04-15 11:05:49:0524;1366016749524;;;;68.0;;;;;;;
2013-04-15 11:05:49:0535;1366016749535;163.9;;;;;;;;;;
2013-04-15 11:05:49:0672;1366016749672;;;;;68;;;;;;
2013-04-15 11:05:49:0770;1366016749770;163.8;;;;;;;;;;
2013-04-15 11:05:49:0876;1366016749876;;;;68.0;;;;;;;
2013-04-15 11:05:50:0008;1366016750008;163.85;;;;;;;;;;
2013-04-15 11:05:50:0028;1366016750028;;;;;68;;;;;;
2013-04-15 11:05:50:0229;1366016750229;;;;68.0;;;;;;;
2013-04-15 11:05:50:0251;1366016750251;163.6;;;;;;;;;;
2013-04-15 11:05:50:0373;1366016750373;;;;;68;;;;;;
2013-04-15 11:05:50:0487;1366016750487;163.8;;;;;;;;;;
2013-04-15 11:05:50:0574;1366016750574;;;;68.0;;;;;;;
2013-04-15 11:05:50:0718;1366016750718;;;;;68;;;;;;
2013-04-15 11:05:50:0726;1366016750726;163.8;;;;;;;;;;
2013-04-15 11:05:50:0920;1366016750920;;;;68.0;;;;;;;
2013-04-15 11:05:50:0977;1366016750977;163.65;;;;;;;;;;
2013-04-15 11:05:51:0065;1366016751065;;;;;68;;;;;;
2013-04-15 11:05:51:0202;1366016751202;163.6;;;;;;;;;;
2013-04-15 11:05:51:0265;1366016751265;;;;68.0;;;;;;;
2013-04-15 11:05:51:0406;1366016751406;;;;;68;;;;;;
2013-04-15 11:05:51:0438;1366016751438;163.6;;;;;;;;;;
2013-04-15 11:05:51:0609;1366016751609;;;;68.0;;;;;;;
2013-04-15 11:05:51:0677;1366016751677;163.9;;;;;;;;;;
2013-04-15 11:05:51:0752;1366016751752;;;;;68;;;;;;
2013-04-15 11:05:51:0915;1366016751915;163.9;;;;;;;;;;
2013-04-15 11:05:51:0955;1366016751955;;;;68.0;;;;;;;
2013-04-15 11:05:52:0097;1366016752097;;;;;68;;;;;;
2013-04-15 11:05:52:0154;1366016752154;163.6;;;;;;;;;;
2013-04-15 11:05:52:0297;1366016752297;;;;68.0;;;;;;;
2013-04-15 11:05:52:0408;1366016752408;163.6;;;;;;;;;;
2013-04-15 11:05:52:0440;1366016752440;;;;;68;;;;;;
2013-04-15 11:05:52:0632;1366016752632;163.8;;;;;;;;;;
2013-04-15 11:05:52:0641;1366016752641;;;;68.0;;;;;;;
2013-04-15 11:05:52:0782;1366016752782;;;;;68;;;;;;
2013-04-15 11:05:52:0870;1366016752870;163.8;;;;;;;;;;
2013-04-15 11:05:52:0992;1366016752992;;;;68.0;;;;;;;
2013-04-15 11:05:53:0111;1366016753111;163.6;;;;;;;;;;
2013-04-15 11:05:53:0176;1366016753176;;;;;68;;;;;;
2013-04-15 11:05:53:0345;1366016753345;163.6;;;;;;;;;;
2013-04-15 11:05:53:0377;1366016753377;;;;68.0;;;;;;;
2013-04-15 11:05:53:0544;1366016753544;;;;;68;;;;;;
2013-04-15 11:05:53:0583;1366016753583;163.6;;;;;;;;;;
2013-04-15 11:05:53:0745;1366016753745;;;;68.0;;;;;;;
2013-04-15 11:05:53:0821;1366016753821;163.5;;;;;;;;;;
2013-04-15 11:05:53:0892;1366016753892;;;;;68;;;;;;
2013-04-15 11:05:54:0059;1366016754059;164.2;;;;;;;;;;
2013-04-15 11:05:54:0115;1366016754115;;;;68.0;;;;;;;
2013-04-15 11:05:54:0258;1366016754258;;;;;68;;;;;;
2013-04-15 11:05:54:0297;1366016754297;167.95;;;;;;;;;;
2013-04-15 11:05:54:0459;1366016754459;;;;68.0;;;;;;;
2013-04-15 11:05:54:0539;1366016754539;172.95;;;;;;;;;;
