Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 08:07:34:0526;1366006054526;247.3;;;;;;;;;;
2013-04-15 08:07:34:0763;1366006054763;247.3;;;;;;;;;;
2013-04-15 08:07:35:0000;1366006055000;247.0;;;;;;;;;;
2013-04-15 08:07:35:0238;1366006055238;246.7;;;;;;;;;;
2013-04-15 08:07:35:0477;1366006055477;247.0;;;;;;;;;;
2013-04-15 08:07:35:0578;1366006055578;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:35:0715;1366006055715;247.2;;;;;;;;;;
2013-04-15 08:07:35:0953;1366006055953;247.3;;;;;;;;;;
2013-04-15 08:07:36:0196;1366006056196;247.3;;;;;;;;;;
2013-04-15 08:07:36:0417;1366006056417;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:36:0433;1366006056433;247.4;;;;;;;;;;
2013-04-15 08:07:36:0693;1366006056693;247.4;;;;;;;;;;
2013-04-15 08:07:36:0912;1366006056912;247.2;;;;;;;;;;
2013-04-15 08:07:37:0147;1366006057147;247.2;;;;;;;;;;
2013-04-15 08:07:37:0385;1366006057385;247.4;;;;;;;;;;
2013-04-15 08:07:37:0413;1366006057413;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:37:0624;1366006057624;247.2;;;;;;;;;;
2013-04-15 08:07:37:0862;1366006057862;247.5;;;;;;;;;;
2013-04-15 08:07:38:0101;1366006058101;247.8;;;;;;;;;;
2013-04-15 08:07:38:0342;1366006058342;247.9;;;;;;;;;;
2013-04-15 08:07:38:0423;1366006058423;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:38:0580;1366006058580;247.9;;;;;;;;;;
2013-04-15 08:07:38:0817;1366006058817;247.5;;;;;;;;;;
2013-04-15 08:07:39:0056;1366006059056;247.1;;;;;;;;;;
2013-04-15 08:07:39:0294;1366006059294;247.1;;;;;;;;;;
2013-04-15 08:07:39:0416;1366006059416;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:39:0532;1366006059532;246.8;;;;;;;;;;
2013-04-15 08:07:39:0770;1366006059770;247.1;;;;;;;;;;
2013-04-15 08:07:40:0008;1366006060008;247.4;;;;;;;;;;
2013-04-15 08:07:40:0245;1366006060245;247.4;;;;;;;;;;
2013-04-15 08:07:40:0413;1366006060413;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:40:0492;1366006060492;247.55;;;;;;;;;;
2013-04-15 08:07:40:0726;1366006060726;247.4;;;;;;;;;;
2013-04-15 08:07:40:0964;1366006060964;247.3;;;;;;;;;;
2013-04-15 08:07:41:0206;1366006061206;247.3;;;;;;;;;;
2013-04-15 08:07:41:0441;1366006061441;247.4;;;;;;;;;;
2013-04-15 08:07:41:0570;1366006061570;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:41:0679;1366006061679;247.2;;;;;;;;;;
2013-04-15 08:07:41:0917;1366006061917;247.45;;;;;;;;;;
2013-04-15 08:07:42:0157;1366006062157;247.8;;;;;;;;;;
2013-04-15 08:07:42:0394;1366006062394;247.5;;;;;;;;;;
2013-04-15 08:07:42:0411;1366006062411;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:42:0644;1366006062644;247.7;;;;;;;;;;
2013-04-15 08:07:42:0873;1366006062873;247.55;;;;;;;;;;
2013-04-15 08:07:43:0113;1366006063113;247.7;;;;;;;;;;
2013-04-15 08:07:43:0350;1366006063350;247.6;;;;;;;;;;
2013-04-15 08:07:43:0411;1366006063411;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:43:0588;1366006063588;247.3;;;;;;;;;;
2013-04-15 08:07:43:0826;1366006063826;247.0;;;;;;;;;;
2013-04-15 08:07:44:0064;1366006064064;246.9;;;;;;;;;;
2013-04-15 08:07:44:0303;1366006064303;247.3;;;;;;;;;;
2013-04-15 08:07:44:0408;1366006064408;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:44:0540;1366006064540;247.7;;;;;;;;;;
2013-04-15 08:07:44:0784;1366006064784;247.7;;;;;;;;;;
2013-04-15 08:07:45:0020;1366006065020;247.8;;;;;;;;;;
2013-04-15 08:07:45:0259;1366006065259;248.05;;;;;;;;;;
2013-04-15 08:07:45:0410;1366006065410;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:45:0497;1366006065497;247.6;;;;;;;;;;
2013-04-15 08:07:45:0735;1366006065735;247.4;;;;;;;;;;
2013-04-15 08:07:45:0973;1366006065973;247.0;;;;;;;;;;
2013-04-15 08:07:46:0211;1366006066211;247.2;;;;;;;;;;
2013-04-15 08:07:46:0410;1366006066410;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:46:0449;1366006066449;247.4;;;;;;;;;;
2013-04-15 08:07:46:0686;1366006066686;247.4;;;;;;;;;;
2013-04-15 08:07:46:0930;1366006066930;247.3;;;;;;;;;;
2013-04-15 08:07:47:0167;1366006067167;247.3;;;;;;;;;;
2013-04-15 08:07:47:0405;1366006067405;247.2;;;;;;;;;;
2013-04-15 08:07:47:0574;1366006067574;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:47:0643;1366006067643;247.1;;;;;;;;;;
2013-04-15 08:07:47:0881;1366006067881;247.1;;;;;;;;;;
2013-04-15 08:07:48:0120;1366006068120;247.4;;;;;;;;;;
2013-04-15 08:07:48:0358;1366006068358;247.3;;;;;;;;;;
2013-04-15 08:07:48:0411;1366006068411;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:48:0596;1366006068596;247.3;;;;;;;;;;
2013-04-15 08:07:48:0834;1366006068834;247.4;;;;;;;;;;
2013-04-15 08:07:49:0076;1366006069076;247.7;;;;;;;;;;
2013-04-15 08:07:49:0317;1366006069317;247.8;;;;;;;;;;
2013-04-15 08:07:49:0423;1366006069423;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:49:0553;1366006069553;247.5;;;;;;;;;;
2013-04-15 08:07:49:0790;1366006069790;247.3;;;;;;;;;;
2013-04-15 08:07:50:0029;1366006070029;247.2;;;;;;;;;;
2013-04-15 08:07:50:0269;1366006070269;247.3;;;;;;;;;;
2013-04-15 08:07:50:0417;1366006070417;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:50:0505;1366006070505;247.0;;;;;;;;;;
2013-04-15 08:07:50:0742;1366006070742;247.2;;;;;;;;;;
2013-04-15 08:07:50:0979;1366006070979;247.5;;;;;;;;;;
2013-04-15 08:07:51:0223;1366006071223;247.7;;;;;;;;;;
2013-04-15 08:07:51:0413;1366006071413;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:51:0460;1366006071460;247.4;;;;;;;;;;
2013-04-15 08:07:51:0699;1366006071699;247.3;;;;;;;;;;
2013-04-15 08:07:51:0936;1366006071936;247.25;;;;;;;;;;
2013-04-15 08:07:52:0174;1366006072174;247.2;;;;;;;;;;
2013-04-15 08:07:52:0413;1366006072413;247.05;;;;;;;;;;
2013-04-15 08:07:52:0414;1366006072414;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:52:0650;1366006072650;246.8;;;;;;;;;;
2013-04-15 08:07:52:0889;1366006072889;247.25;;;;;;;;;;
2013-04-15 08:07:53:0127;1366006073127;247.5;;;;;;;;;;
2013-04-15 08:07:53:0369;1366006073369;247.6;;;;;;;;;;
2013-04-15 08:07:53:0573;1366006073573;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:53:0607;1366006073607;247.35;;;;;;;;;;
2013-04-15 08:07:53:0844;1366006073844;247.35;;;;;;;;;;
2013-04-15 08:07:54:0082;1366006074082;247.3;;;;;;;;;;
2013-04-15 08:07:54:0321;1366006074321;247.25;;;;;;;;;;
2013-04-15 08:07:54:0416;1366006074416;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:54:0566;1366006074566;247.1;;;;;;;;;;
2013-04-15 08:07:54:0797;1366006074797;247.1;;;;;;;;;;
2013-04-15 08:07:55:0035;1366006075035;247.15;;;;;;;;;;
2013-04-15 08:07:55:0274;1366006075274;247.1;;;;;;;;;;
