Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 08:08:50:0383;1366006130383;262.0;;;;;;;;;;
2013-04-15 08:08:50:0626;1366006130626;262.0;;;;;;;;;;
2013-04-15 08:08:50:0872;1366006130872;262.0;;;;;;;;;;
2013-04-15 08:08:51:0099;1366006131099;262.0;;;;;;;;;;
2013-04-15 08:08:51:0338;1366006131338;261.95;;;;;;;;;;
2013-04-15 08:08:51:0576;1366006131576;261.9;;;;;;;;;;
2013-04-15 08:08:51:0821;1366006131821;262.2;;;;;;;;;;
2013-04-15 08:08:52:0052;1366006132052;262.2;;;;;;;;;;
2013-04-15 08:08:52:0291;1366006132291;262.2;;;;;;;;;;
2013-04-15 08:08:52:0530;1366006132530;262.0;;;;;;;;;;
2013-04-15 08:08:52:0771;1366006132771;261.6;;;;;;;;;;
2013-04-15 08:08:53:0009;1366006133009;261.5;;;;;;;;;;
2013-04-15 08:08:53:0247;1366006133247;261.4;;;;;;;;;;
2013-04-15 08:08:53:0484;1366006133484;261.6;;;;;;;;;;
2013-04-15 08:08:53:0722;1366006133722;261.9;;;;;;;;;;
2013-04-15 08:08:53:0977;1366006133977;261.9;;;;;;;;;;
2013-04-15 08:08:54:0198;1366006134198;262.0;;;;;;;;;;
2013-04-15 08:08:54:0437;1366006134437;262.0;;;;;;;;;;
2013-04-15 08:08:54:0697;1366006134697;262.0;;;;;;;;;;
2013-04-15 08:08:54:0918;1366006134918;261.9;;;;;;;;;;
2013-04-15 08:08:55:0168;1366006135168;261.9;;;;;;;;;;
2013-04-15 08:08:55:0393;1366006135393;262.0;;;;;;;;;;
2013-04-15 08:08:55:0630;1366006135630;262.1;;;;;;;;;;
2013-04-15 08:08:55:0869;1366006135869;262.0;;;;;;;;;;
2013-04-15 08:08:56:0107;1366006136107;262.0;;;;;;;;;;
2013-04-15 08:08:56:0344;1366006136344;261.85;;;;;;;;;;
2013-04-15 08:08:56:0610;1366006136610;261.75;;;;;;;;;;
2013-04-15 08:08:56:0850;1366006136850;261.9;;;;;;;;;;
2013-04-15 08:08:57:0091;1366006137091;261.8;;;;;;;;;;
2013-04-15 08:08:57:0325;1366006137325;261.4;;;;;;;;;;
2013-04-15 08:08:57:0574;1366006137574;261.7;;;;;;;;;;
2013-04-15 08:08:57:0803;1366006137803;262.0;;;;;;;;;;
2013-04-15 08:08:58:0038;1366006138038;262.2;;;;;;;;;;
2013-04-15 08:08:58:0276;1366006138276;261.9;;;;;;;;;;
2013-04-15 08:08:58:0515;1366006138515;261.9;;;;;;;;;;
2013-04-15 08:08:58:0753;1366006138753;261.9;;;;;;;;;;
2013-04-15 08:08:58:0995;1366006138995;261.9;;;;;;;;;;
2013-04-15 08:08:59:0245;1366006139245;261.8;;;;;;;;;;
2013-04-15 08:08:59:0471;1366006139471;261.7;;;;;;;;;;
2013-04-15 08:08:59:0709;1366006139709;261.8;;;;;;;;;;
2013-04-15 08:08:59:0947;1366006139947;261.9;;;;;;;;;;
2013-04-15 08:09:00:0185;1366006140185;262.0;;;;;;;;;;
2013-04-15 08:09:00:0423;1366006140423;261.8;;;;;;;;;;
2013-04-15 08:09:00:0661;1366006140661;262.1;;;;;;;;;;
2013-04-15 08:09:00:0914;1366006140914;262.0;;;;;;;;;;
2013-04-15 08:09:01:0141;1366006141141;261.95;;;;;;;;;;
2013-04-15 08:09:01:0379;1366006141379;261.9;;;;;;;;;;
2013-04-15 08:09:01:0617;1366006141617;261.6;;;;;;;;;;
2013-04-15 08:09:01:0855;1366006141855;261.6;;;;;;;;;;
2013-04-15 08:09:02:0095;1366006142095;261.9;;;;;;;;;;
2013-04-15 08:09:02:0337;1366006142337;261.85;;;;;;;;;;
