Zeitstempel;Ist-Kurs;Soll-Kurs
2013-05-15 13:55:00:359;30.3;90.0
2013-05-15 13:55:00:596;24.5;90.0
2013-05-15 13:55:00:838;26.3;90.0
2013-05-15 13:55:01:87;26.3;90.0
2013-05-15 13:55:01:314;27.3;90.0
2013-05-15 13:55:01:552;27.5;90.0
2013-05-15 13:55:01:789;27.8;90.0
2013-05-15 13:55:02:26;27.7;90.0
2013-05-15 13:55:02:306;26.6;90.0
2013-05-15 13:55:02:526;29.1;90.0
2013-05-15 13:55:02:762;30.4;90.0
2013-05-15 13:55:03:00;27.1;90.0
2013-05-15 13:55:03:243;24.7;90.0
2013-05-15 13:55:03:480;27.7;90.0
2013-05-15 13:55:03:717;29.4;90.0
2013-05-15 13:55:03:956;29.0;90.0
2013-05-15 13:55:04:195;29.7;90.0
2013-05-15 13:55:04:447;24.4;90.0
2013-05-15 13:55:04:669;19.2;90.0
2013-05-15 13:55:04:907;14.8;90.0
2013-05-15 13:55:05:144;13.5;90.0
2013-05-15 13:55:05:411;13.2;90.0
2013-05-15 13:55:05:647;8.2;90.0
2013-05-15 13:55:05:885;11.9;90.0
2013-05-15 13:55:06:122;8.1;90.0
2013-05-15 13:55:06:360;9.9;90.0
2013-05-15 13:55:06:599;16.4;90.0
2013-05-15 13:55:06:836;10.2;90.0
2013-05-15 13:55:07:125;356.1;90.0
2013-05-15 13:55:07:362;357.3;90.0
2013-05-15 13:55:07:601;356.6;90.0
2013-05-15 13:55:07:838;1.8;90.0
2013-05-15 13:55:08:76;357.2;90.0
2013-05-15 13:55:08:312;358.0;90.0
2013-05-15 13:55:08:558;2.2;90.0
2013-05-15 13:55:08:803;6.2;90.0
2013-05-15 13:55:09:73;8.0;90.0
2013-05-15 13:55:09:293;18.2;90.0
2013-05-15 13:55:09:528;17.4;90.0
2013-05-15 13:55:09:766;13.0;90.0
2013-05-15 13:55:10:13;19.0;90.0
2013-05-15 13:55:10:241;17.6;90.0
2013-05-15 13:55:10:522;21.2;90.0
2013-05-15 13:55:10:745;18.0;90.0
2013-05-15 13:55:10:982;17.6;90.0
2013-05-15 13:55:11:220;24.4;90.0
2013-05-15 13:55:11:458;27.2;90.0
2013-05-15 13:55:11:695;26.5;90.0
2013-05-15 13:55:11:933;25.4;90.0
2013-05-15 13:55:12:209;26.5;90.0
2013-05-15 13:55:12:432;29.0;90.0
2013-05-15 13:55:12:674;31.3;90.0
2013-05-15 13:55:12:911;30.3;90.0
2013-05-15 13:55:13:149;31.6;90.0
2013-05-15 13:55:13:387;34.9;90.0
2013-05-15 13:55:13:639;32.4;90.0
2013-05-15 13:55:13:901;26.9;90.0
2013-05-15 13:55:14:123;30.7;90.0
2013-05-15 13:55:14:361;36.0;90.0
2013-05-15 13:55:14:603;31.5;90.0
2013-05-15 13:55:14:840;32.3;90.0
2013-05-15 13:55:15:81;37.4;90.0
2013-05-15 13:55:15:321;31.8;90.0
2013-05-15 13:55:15:553;29.1;90.0
2013-05-15 13:55:15:792;30.7;90.0
2013-05-15 13:55:16:30;30.9;90.0
2013-05-15 13:55:16:267;30.3;90.0
2013-05-15 13:55:16:504;27.7;90.0
2013-05-15 13:55:16:766;31.1;90.0
2013-05-15 13:55:16:986;34.5;90.0
2013-05-15 13:55:17:222;29.8;90.0
2013-05-15 13:55:17:487;31.9;90.0
2013-05-15 13:55:17:751;37.7;90.0
2013-05-15 13:55:17:981;40.2;90.0
2013-05-15 13:55:18:220;41.0;90.0
2013-05-15 13:55:18:493;31.1;90.0
2013-05-15 13:55:18:724;39.4;90.0
2013-05-15 13:55:18:959;47.9;90.0
2013-05-15 13:55:19:197;39.4;90.0
2013-05-15 13:55:19:435;42.5;90.0
2013-05-15 13:55:19:673;46.5;90.0
2013-05-15 13:55:19:912;41.4;90.0
2013-05-15 13:55:20:148;45.4;90.0
2013-05-15 13:55:20:391;52.4;90.0
2013-05-15 13:55:20:628;45.7;90.0
2013-05-15 13:55:20:865;44.4;90.0
2013-05-15 13:55:21:172;51.9;90.0
2013-05-15 13:55:21:388;51.5;90.0
2013-05-15 13:55:21:626;50.2;90.0
2013-05-15 13:55:21:864;48.7;90.0
2013-05-15 13:55:22:106;53.4;90.0
2013-05-15 13:55:22:359;58.0;90.0
2013-05-15 13:55:22:612;55.8;90.0
2013-05-15 13:55:22:842;55.8;90.0
2013-05-15 13:55:23:111;57.9;90.0
2013-05-15 13:55:23:342;57.7;90.0
2013-05-15 13:55:23:580;53.6;90.0
2013-05-15 13:55:23:822;53.3;90.0
2013-05-15 13:55:24:58;56.3;90.0
2013-05-15 13:55:24:318;57.4;90.0
2013-05-15 13:55:24:545;54.3;90.0
2013-05-15 13:55:24:771;53.5;90.0
2013-05-15 13:55:25:37;56.2;90.0
2013-05-15 13:55:25:270;57.8;90.0
2013-05-15 13:55:25:507;58.6;90.0
2013-05-15 13:55:25:750;57.8;90.0
2013-05-15 13:55:25:987;51.7;90.0
2013-05-15 13:55:26:229;50.0;90.0
2013-05-15 13:55:26:469;56.9;90.0
2013-05-15 13:55:26:700;54.4;90.0
2013-05-15 13:55:27:06;50.1;90.0
2013-05-15 13:55:27:223;47.3;90.0
2013-05-15 13:55:27:475;48.3;90.0
2013-05-15 13:55:27:731;51.0;90.0
2013-05-15 13:55:27:962;47.9;90.0
2013-05-15 13:55:28:200;44.3;90.0
2013-05-15 13:55:28:488;42.3;90.0
2013-05-15 13:55:28:722;46.4;90.0
2013-05-15 13:55:28:965;48.6;90.0
2013-05-15 13:55:29:237;43.2;90.0
2013-05-15 13:55:29:494;38.4;90.0
2013-05-15 13:55:29:724;38.9;90.0
2013-05-15 13:55:29:962;39.5;90.0
2013-05-15 13:55:30:202;40.0;90.0
2013-05-15 13:55:30:438;36.6;90.0
2013-05-15 13:55:30:680;33.0;90.0
2013-05-15 13:55:30:917;32.8;90.0
2013-05-15 13:55:31:154;35.3;90.0
2013-05-15 13:55:31:392;36.3;90.0
2013-05-15 13:55:31:656;32.9;90.0
2013-05-15 13:55:31:892;30.3;90.0
2013-05-15 13:55:32:128;31.3;90.0
2013-05-15 13:55:32:366;33.2;90.0
2013-05-15 13:55:32:609;31.2;90.0
2013-05-15 13:55:32:845;29.8;90.0
2013-05-15 13:55:33:83;30.0;90.0
2013-05-15 13:55:33:322;31.7;90.0
2013-05-15 13:55:33:558;32.2;90.0
2013-05-15 13:55:33:816;29.7;90.0
2013-05-15 13:55:34:38;25.8;90.0
2013-05-15 13:55:34:272;24.6;90.0
2013-05-15 13:55:34:509;27.1;90.0
2013-05-15 13:55:34:752;26.9;90.0
2013-05-15 13:55:35:13;19.9;90.0
2013-05-15 13:55:35:251;8.8;90.0
2013-05-15 13:55:35:497;7.3;90.0
2013-05-15 13:55:35:729;10.0;90.0
2013-05-15 13:55:35:963;4.0;90.0
2013-05-15 13:55:36:297;356.9;90.0
2013-05-15 13:55:36:513;349.4;90.0
2013-05-15 13:55:36:750;346.2;90.0
2013-05-15 13:55:36:988;341.3;90.0
2013-05-15 13:55:37:227;341.1;90.0
2013-05-15 13:55:37:520;345.5;90.0
2013-05-15 13:55:37:714;348.5;90.0
2013-05-15 13:55:37:957;343.8;90.0
2013-05-15 13:55:38:183;343.9;90.0
2013-05-15 13:55:38:419;348.4;90.0
2013-05-15 13:55:38:656;352.9;90.0
2013-05-15 13:55:38:897;353.8;90.0
2013-05-15 13:55:39:133;346.9;90.0
2013-05-15 13:55:39:380;344.6;90.0
2013-05-15 13:55:39:608;341.7;90.0
2013-05-15 13:55:39:888;340.4;90.0
2013-05-15 13:55:40:112;346.2;90.0
2013-05-15 13:55:40:349;347.3;90.0
2013-05-15 13:55:40:588;349.1;90.0
2013-05-15 13:55:40:824;345.5;90.0
2013-05-15 13:55:41:63;349.4;90.0
2013-05-15 13:55:41:302;5.0;90.0
2013-05-15 13:55:41:543;350.1;90.0
2013-05-15 13:55:41:777;349.0;90.0
2013-05-15 13:55:42:13;343.9;90.0
2013-05-15 13:55:42:255;349.0;90.0
2013-05-15 13:55:42:492;9.5;90.0
2013-05-15 13:55:42:730;7.9;90.0
2013-05-15 13:55:42:968;349.6;90.0
2013-05-15 13:55:43:208;349.9;90.0
2013-05-15 13:55:43:443;355.0;90.0
2013-05-15 13:55:43:683;8.2;90.0
2013-05-15 13:55:43:957;7.5;90.0
2013-05-15 13:55:44:185;350.6;90.0
2013-05-15 13:55:44:422;346.2;90.0
2013-05-15 13:55:44:659;349.1;90.0
2013-05-15 13:55:44:897;342.8;90.0
2013-05-15 13:55:45:134;342.2;90.0
2013-05-15 13:55:45:374;341.0;90.0
