Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition
2013-03-27 13:04:44:0482;1364385884482;235.5;;;;
2013-03-27 13:04:44:0691;1364385884691;235.75;;;;
2013-03-27 13:04:44:0946;1364385884946;235.8;;;;
2013-03-27 13:04:45:0185;1364385885185;235.8;;;;
2013-03-27 13:04:45:0407;1364385885407;235.9;;;;
2013-03-27 13:04:45:0644;1364385885644;235.7;;;;
2013-03-27 13:04:45:0898;1364385885898;235.7;;;;
2013-03-27 13:04:46:0124;1364385886124;235.6;;;;
2013-03-27 13:04:46:0404;1364385886404;235.6;;;;
2013-03-27 13:04:46:0639;1364385886639;235.65;;;;
2013-03-27 13:04:46:0869;1364385886869;235.6;;;;
2013-03-27 13:04:47:0134;1364385887134;235.5;;;;
2013-03-27 13:04:47:0363;1364385887363;235.4;;;;
2013-03-27 13:04:47:0606;1364385887606;235.4;;;;
2013-03-27 13:04:47:0848;1364385887848;235.6;;;;
2013-03-27 13:04:48:0079;1364385888079;235.5;;;;
2013-03-27 13:04:48:0310;1364385888310;235.5;;;;
2013-03-27 13:04:48:0570;1364385888570;235.4;;;;
2013-03-27 13:04:48:0807;1364385888807;235.5;;;;
2013-03-27 13:04:49:0050;1364385889050;235.5;;;;
2013-03-27 13:04:49:0287;1364385889287;235.4;;;;
2013-03-27 13:04:49:0525;1364385889525;235.6;;;;
2013-03-27 13:04:49:0763;1364385889763;235.8;;;;
2013-03-27 13:04:49:0999;1364385889999;235.8;;;;
2013-03-27 13:04:50:0237;1364385890237;235.65;;;;
2013-03-27 13:04:50:0476;1364385890476;235.6;;;;
2013-03-27 13:04:50:0714;1364385890714;235.6;;;;
2013-03-27 13:04:50:0971;1364385890971;235.6;;;;
2013-03-27 13:04:51:0193;1364385891193;235.4;;;;
2013-03-27 13:04:51:0430;1364385891430;235.5;;;;
2013-03-27 13:04:51:0668;1364385891668;235.5;;;;
2013-03-27 13:04:51:0908;1364385891908;235.7;;;;
2013-03-27 13:04:52:0143;1364385892143;235.6;;;;
2013-03-27 13:04:52:0381;1364385892381;235.6;;;;
2013-03-27 13:04:52:0619;1364385892619;235.4;;;;
2013-03-27 13:04:52:0857;1364385892857;235.6;;;;
2013-03-27 13:04:53:0117;1364385893117;235.7;;;;
2013-03-27 13:04:53:0337;1364385893337;235.6;;;;
2013-03-27 13:04:53:0575;1364385893575;235.8;;;;
2013-03-27 13:04:53:0812;1364385893812;235.6;;;;
2013-03-27 13:04:54:0049;1364385894049;235.4;;;;
2013-03-27 13:04:54:0287;1364385894287;235.4;;;;
2013-03-27 13:04:54:0525;1364385894525;235.6;;;;
2013-03-27 13:04:54:0765;1364385894765;235.3;;;;
2013-03-27 13:04:55:0000;1364385895000;235.3;;;;
2013-03-27 13:04:55:0238;1364385895238;235.7;;;;
2013-03-27 13:04:55:0511;1364385895511;235.7;;;;
2013-03-27 13:04:55:0741;1364385895741;235.5;;;;
2013-03-27 13:04:55:0979;1364385895979;235.5;;;;
2013-03-27 13:04:56:0217;1364385896217;235.5;;;;
2013-03-27 13:04:56:0454;1364385896454;235.4;;;;
2013-03-27 13:04:56:0692;1364385896692;235.5;;;;
2013-03-27 13:04:56:0930;1364385896930;235.5;;;;
2013-03-27 13:04:57:0167;1364385897167;235.6;;;;
2013-03-27 13:04:57:0411;1364385897411;235.4;;;;
2013-03-27 13:04:57:0648;1364385897648;235.6;;;;
2013-03-27 13:04:57:0885;1364385897885;235.7;;;;
2013-03-27 13:04:58:0123;1364385898123;235.6;;;;
2013-03-27 13:04:58:0364;1364385898364;235.2;;;;
2013-03-27 13:04:58:0599;1364385898599;235.3;;;;
2013-03-27 13:04:58:0837;1364385898837;235.55;;;;
2013-03-27 13:04:59:0076;1364385899076;235.8;;;;
2013-03-27 13:04:59:0312;1364385899312;235.5;;;;
2013-03-27 13:04:59:0555;1364385899555;235.6;;;;
2013-03-27 13:04:59:0793;1364385899793;235.6;;;;
2013-03-27 13:05:00:0030;1364385900030;235.4;;;;
2013-03-27 13:05:00:0267;1364385900267;235.5;;;;
2013-03-27 13:05:00:0520;1364385900520;235.5;;;;
2013-03-27 13:05:00:0743;1364385900743;235.8;;;;
2013-03-27 13:05:00:0984;1364385900984;235.6;;;;
2013-03-27 13:05:01:0219;1364385901219;235.5;;;;
2013-03-27 13:05:01:0456;1364385901456;235.35;;;;
2013-03-27 13:05:01:0720;1364385901720;235.3;;;;
2013-03-27 13:05:01:0936;1364385901936;235.5;;;;
2013-03-27 13:05:02:0174;1364385902174;235.6;;;;
2013-03-27 13:05:02:0411;1364385902411;235.9;;;;
2013-03-27 13:05:02:0649;1364385902649;235.6;;;;
2013-03-27 13:05:02:0886;1364385902886;235.5;;;;
2013-03-27 13:05:03:0125;1364385903125;235.5;;;;
2013-03-27 13:05:03:0362;1364385903362;235.5;;;;
2013-03-27 13:05:03:0606;1364385903606;235.6;;;;
2013-03-27 13:05:03:0843;1364385903843;235.6;;;;
2013-03-27 13:05:04:0080;1364385904080;235.4;;;;
2013-03-27 13:05:04:0317;1364385904317;235.4;;;;
2013-03-27 13:05:04:0554;1364385904554;235.3;;;;
2013-03-27 13:05:04:0792;1364385904792;235.5;;;;
2013-03-27 13:05:05:0030;1364385905030;235.4;;;;
2013-03-27 13:05:05:0268;1364385905268;235.65;;;;
2013-03-27 13:05:05:0506;1364385905506;235.7;;;;
2013-03-27 13:05:05:0744;1364385905744;235.9;;;;
2013-03-27 13:05:05:0986;1364385905986;235.7;;;;
2013-03-27 13:05:06:0224;1364385906224;235.5;;;;
2013-03-27 13:05:06:0461;1364385906461;235.5;;;;
2013-03-27 13:05:06:0698;1364385906698;235.6;;;;
2013-03-27 13:05:06:0938;1364385906938;235.9;;;;
2013-03-27 13:05:07:0186;1364385907186;235.7;;;;
2013-03-27 13:05:07:0412;1364385907412;235.9;;;;
2013-03-27 13:05:07:0654;1364385907654;235.6;;;;
2013-03-27 13:05:07:0889;1364385907889;235.5;;;;
2013-03-27 13:05:08:0131;1364385908131;235.4;;;;
2013-03-27 13:05:08:0366;1364385908366;235.4;;;;
2013-03-27 13:05:08:0605;1364385908605;235.5;;;;
2013-03-27 13:05:08:0842;1364385908842;235.6;;;;
2013-03-27 13:05:09:0080;1364385909080;235.5;;;;
2013-03-27 13:05:09:0318;1364385909318;235.4;;;;
2013-03-27 13:05:09:0556;1364385909556;235.2;;;;
2013-03-27 13:05:09:0596;1364385909596;;-34.0;;;
2013-03-27 13:05:09:0596;1364385909596;;;59.5;;
2013-03-27 13:05:09:0794;1364385909794;235.4;;;;
2013-03-27 13:05:09:0798;1364385909798;;;;;59
2013-03-27 13:05:10:0032;1364385910032;235.4;;;;
2013-03-27 13:05:10:0182;1364385910182;;-25.0;;;
2013-03-27 13:05:10:0182;1364385910182;;;52.41;;
2013-03-27 13:05:10:0274;1364385910274;235.75;;;;
