Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition
2013-03-27 14:28:43:0950;1364390923950;270.8;;;;
2013-03-27 14:28:44:0187;1364390924187;270.8;;;;
2013-03-27 14:28:44:0424;1364390924424;270.8;;;;
2013-03-27 14:28:44:0668;1364390924668;270.8;;;;
2013-03-27 14:28:44:0905;1364390924905;270.8;;;;
2013-03-27 14:28:45:0142;1364390925142;270.7;;;;
2013-03-27 14:28:45:0381;1364390925381;270.7;;;;
2013-03-27 14:28:45:0618;1364390925618;270.7;;;;
2013-03-27 14:28:45:0856;1364390925856;270.7;;;;
2013-03-27 14:28:46:0094;1364390926094;270.7;;;;
2013-03-27 14:28:46:0331;1364390926331;270.8;;;;
2013-03-27 14:28:46:0568;1364390926568;270.7;;;;
2013-03-27 14:28:46:0813;1364390926813;270.7;;;;
2013-03-27 14:28:47:0048;1364390927048;270.7;;;;
2013-03-27 14:28:47:0286;1364390927286;270.7;;;;
2013-03-27 14:28:47:0524;1364390927524;270.7;;;;
2013-03-27 14:28:47:0762;1364390927762;270.8;;;;
2013-03-27 14:28:47:0999;1364390927999;270.7;;;;
2013-03-27 14:28:48:0237;1364390928237;270.7;;;;
2013-03-27 14:28:48:0475;1364390928475;270.7;;;;
2013-03-27 14:28:48:0713;1364390928713;270.6;;;;
2013-03-27 14:28:48:0955;1364390928955;270.7;;;;
2013-03-27 14:28:49:0191;1364390929191;270.7;;;;
2013-03-27 14:28:49:0430;1364390929430;270.6;;;;
2013-03-27 14:28:49:0669;1364390929669;270.7;;;;
2013-03-27 14:28:49:0906;1364390929906;270.7;;;;
2013-03-27 14:28:50:0145;1364390930145;270.6;;;;
2013-03-27 14:28:50:0382;1364390930382;270.5;;;;
2013-03-27 14:28:50:0619;1364390930619;270.5;;;;
2013-03-27 14:28:50:0859;1364390930859;270.7;;;;
2013-03-27 14:28:51:0099;1364390931099;270.7;;;;
2013-03-27 14:28:51:0336;1364390931336;270.6;;;;
2013-03-27 14:28:51:0574;1364390931574;270.5;;;;
2013-03-27 14:28:51:0812;1364390931812;270.6;;;;
2013-03-27 14:28:52:0050;1364390932050;270.7;;;;
2013-03-27 14:28:52:0287;1364390932287;270.6;;;;
2013-03-27 14:28:52:0525;1364390932525;270.6;;;;
2013-03-27 14:28:52:0763;1364390932763;270.7;;;;
2013-03-27 14:28:53:0001;1364390933001;270.7;;;;
2013-03-27 14:28:53:0243;1364390933243;270.6;;;;
2013-03-27 14:28:53:0480;1364390933480;270.6;;;;
2013-03-27 14:28:53:0717;1364390933717;270.6;;;;
2013-03-27 14:28:53:0956;1364390933956;270.9;;;;
2013-03-27 14:28:54:0193;1364390934193;270.8;;;;
2013-03-27 14:28:54:0431;1364390934431;270.8;;;;
2013-03-27 14:28:54:0669;1364390934669;270.8;;;;
2013-03-27 14:28:54:0907;1364390934907;270.85;;;;
2013-03-27 14:28:55:0143;1364390935143;270.65;;;;
2013-03-27 14:28:55:0387;1364390935387;270.6;;;;
2013-03-27 14:28:55:0626;1364390935626;270.6;;;;
2013-03-27 14:28:55:0861;1364390935861;270.6;;;;
2013-03-27 14:28:56:0099;1364390936099;270.7;;;;
2013-03-27 14:28:56:0337;1364390936337;270.7;;;;
2013-03-27 14:28:56:0574;1364390936574;270.7;;;;
2013-03-27 14:28:56:0812;1364390936812;270.8;;;;
2013-03-27 14:28:57:0050;1364390937050;270.8;;;;
2013-03-27 14:28:57:0288;1364390937288;270.8;;;;
2013-03-27 14:28:57:0531;1364390937531;270.8;;;;
2013-03-27 14:28:57:0767;1364390937767;270.8;;;;
2013-03-27 14:28:58:0005;1364390938005;270.8;;;;
2013-03-27 14:28:58:0243;1364390938243;270.8;;;;
2013-03-27 14:28:58:0480;1364390938480;270.8;;;;
2013-03-27 14:28:58:0718;1364390938718;270.8;;;;
2013-03-27 14:28:58:0956;1364390938956;270.6;;;;
2013-03-27 14:28:59:0194;1364390939194;270.6;;;;
2013-03-27 14:28:59:0431;1364390939431;270.7;;;;
2013-03-27 14:28:59:0674;1364390939674;270.7;;;;
2013-03-27 14:28:59:0911;1364390939911;270.8;;;;
2013-03-27 14:29:00:0148;1364390940148;270.8;;;;
2013-03-27 14:29:00:0386;1364390940386;270.8;;;;
2013-03-27 14:29:00:0624;1364390940624;270.7;;;;
2013-03-27 14:29:00:0862;1364390940862;270.8;;;;
2013-03-27 14:29:01:0099;1364390941099;270.9;;;;
2013-03-27 14:29:01:0337;1364390941337;270.9;;;;
2013-03-27 14:29:01:0575;1364390941575;270.9;;;;
2013-03-27 14:29:01:0816;1364390941816;270.9;;;;
2013-03-27 14:29:02:0055;1364390942055;270.8;;;;
2013-03-27 14:29:02:0291;1364390942291;270.8;;;;
2013-03-27 14:29:02:0530;1364390942530;270.8;;;;
2013-03-27 14:29:02:0768;1364390942768;270.8;;;;
2013-03-27 14:29:03:0006;1364390943006;270.8;;;;
2013-03-27 14:29:03:0243;1364390943243;270.8;;;;
2013-03-27 14:29:03:0480;1364390943480;270.8;;;;
2013-03-27 14:29:03:0717;1364390943717;270.8;;;;
2013-03-27 14:29:03:0961;1364390943961;270.8;;;;
2013-03-27 14:29:04:0197;1364390944197;270.7;;;;
2013-03-27 14:29:04:0435;1364390944435;270.8;;;;
2013-03-27 14:29:04:0673;1364390944673;270.8;;;;
2013-03-27 14:29:04:0913;1364390944913;270.8;;;;
2013-03-27 14:29:05:0149;1364390945149;270.8;;;;
2013-03-27 14:29:05:0386;1364390945386;270.8;;;;
2013-03-27 14:29:05:0624;1364390945624;270.7;;;;
2013-03-27 14:29:05:0862;1364390945862;270.7;;;;
2013-03-27 14:29:06:0105;1364390946105;270.8;;;;
2013-03-27 14:29:06:0346;1364390946346;270.7;;;;
2013-03-27 14:29:06:0579;1364390946579;270.75;;;;
2013-03-27 14:29:06:0817;1364390946817;270.8;;;;
2013-03-27 14:29:07:0055;1364390947055;270.8;;;;
2013-03-27 14:29:07:0293;1364390947293;270.8;;;;
2013-03-27 14:29:07:0531;1364390947531;270.8;;;;
2013-03-27 14:29:07:0769;1364390947769;270.9;;;;
2013-03-27 14:29:08:0011;1364390948011;270.9;;;;
2013-03-27 14:29:08:0249;1364390948249;270.8;;;;
2013-03-27 14:29:08:0486;1364390948486;271.0;;;;
2013-03-27 14:29:08:0723;1364390948723;271.0;;;;
2013-03-27 14:29:08:0961;1364390948961;271.0;;;;
2013-03-27 14:29:09:0199;1364390949199;271.0;;;;
2013-03-27 14:29:09:0437;1364390949437;271.0;;;;
2013-03-27 14:29:09:0674;1364390949674;270.8;;;;
2013-03-27 14:29:09:0912;1364390949912;270.8;;;;
2013-03-27 14:29:10:0150;1364390950150;270.8;;;;
2013-03-27 14:29:10:0392;1364390950392;270.8;;;;
2013-03-27 14:29:10:0629;1364390950629;270.8;;;;
2013-03-27 14:29:10:0867;1364390950867;270.8;;;;
2013-03-27 14:29:11:0105;1364390951105;270.8;;;;
2013-03-27 14:29:11:0342;1364390951342;270.8;;;;
2013-03-27 14:29:11:0580;1364390951580;270.8;;;;
2013-03-27 14:29:11:0817;1364390951817;271.0;;;;
2013-03-27 14:29:12:0054;1364390952054;270.9;;;;
2013-03-27 14:29:12:0293;1364390952293;270.9;;;;
2013-03-27 14:29:12:0536;1364390952536;270.7;;;;
2013-03-27 14:29:12:0772;1364390952772;270.7;;;;
2013-03-27 14:29:13:0011;1364390953011;270.7;;;;
2013-03-27 14:29:13:0247;1364390953247;270.7;;;;
2013-03-27 14:29:13:0485;1364390953485;270.7;;;;
2013-03-27 14:29:13:0722;1364390953722;270.9;;;;
2013-03-27 14:29:13:0961;1364390953961;270.9;;;;
2013-03-27 14:29:14:0201;1364390954201;270.8;;;;
2013-03-27 14:29:14:0437;1364390954437;270.9;;;;
2013-03-27 14:29:14:0679;1364390954679;270.7;;;;
2013-03-27 14:29:14:0916;1364390954916;270.85;;;;
2013-03-27 14:29:15:0154;1364390955154;270.9;;;;
2013-03-27 14:29:15:0391;1364390955391;270.9;;;;
2013-03-27 14:29:15:0630;1364390955630;270.85;;;;
2013-03-27 14:29:15:0873;1364390955873;271.0;;;;
2013-03-27 14:29:16:0105;1364390956105;270.8;;;;
2013-03-27 14:29:16:0342;1364390956342;270.6;;;;
2013-03-27 14:29:16:0580;1364390956580;270.7;;;;
2013-03-27 14:29:16:0822;1364390956822;270.8;;;;
2013-03-27 14:29:17:0059;1364390957059;270.8;;;;
2013-03-27 14:29:17:0297;1364390957297;270.8;;;;
2013-03-27 14:29:17:0534;1364390957534;270.8;;;;
2013-03-27 14:29:17:0773;1364390957773;270.8;;;;
2013-03-27 14:29:18:0010;1364390958010;270.8;;;;
2013-03-27 14:29:18:0248;1364390958248;270.8;;;;
2013-03-27 14:29:18:0486;1364390958486;270.8;;;;
2013-03-27 14:29:18:0724;1364390958724;271.0;;;;
2013-03-27 14:29:18:0965;1364390958965;271.0;;;;
2013-03-27 14:29:19:0202;1364390959202;270.9;;;;
2013-03-27 14:29:19:0440;1364390959440;270.9;;;;
2013-03-27 14:29:19:0678;1364390959678;270.8;;;;
2013-03-27 14:29:19:0916;1364390959916;270.9;;;;
2013-03-27 14:29:20:0153;1364390960153;270.9;;;;
2013-03-27 14:29:20:0392;1364390960392;270.9;;;;
2013-03-27 14:29:20:0629;1364390960629;270.9;;;;
2013-03-27 14:29:20:0866;1364390960866;270.9;;;;
2013-03-27 14:29:21:0110;1364390961110;270.9;;;;
2013-03-27 14:29:21:0346;1364390961346;270.9;;;;
2013-03-27 14:29:21:0584;1364390961584;270.9;;;;
2013-03-27 14:29:21:0822;1364390961822;270.8;;;;
2013-03-27 14:29:22:0059;1364390962059;270.8;;;;
2013-03-27 14:29:22:0297;1364390962297;270.8;;;;
2013-03-27 14:29:22:0535;1364390962535;270.9;;;;
