2013-03-27 13:05:19:562;186.3
2013-03-27 13:05:19:801;186.6
2013-03-27 13:05:20:39;186.7
2013-03-27 13:05:20:276;186.5
2013-03-27 13:05:20:514;186.6
2013-03-27 13:05:20:752;186.3
2013-03-27 13:05:20:999;186.15
2013-03-27 13:05:21:231;186.25
2013-03-27 13:05:21:468;185.9
2013-03-27 13:05:21:707;186.1
2013-03-27 13:05:21:943;186.3
2013-03-27 13:05:22:183;186.2
2013-03-27 13:05:22:425;186.2
2013-03-27 13:05:22:658;186.3
2013-03-27 13:05:22:894;186.25
2013-03-27 13:05:23:138;186.2
2013-03-27 13:05:23:375;186.0
2013-03-27 13:05:23:614;182.5
2013-03-27 13:05:23:850;174.95
2013-03-27 13:05:24:96;174.85
2013-03-27 13:05:24:326;170.55
2013-03-27 13:05:24:563;164.55
2013-03-27 13:05:24:801;155.7
2013-03-27 13:05:25:38;153.55
2013-03-27 13:05:25:282;152.0
2013-03-27 13:05:25:518;151.4
2013-03-27 13:05:25:755;151.3
2013-03-27 13:05:25:993;151.95
2013-03-27 13:05:26:232;152.1
2013-03-27 13:05:26:469;152.3
2013-03-27 13:05:26:707;152.1
2013-03-27 13:05:26:944;152.25
2013-03-27 13:05:27:196;151.9
2013-03-27 13:05:27:426;151.7
2013-03-27 13:05:27:661;152.6
2013-03-27 13:05:27:900;153.4
2013-03-27 13:05:28:136;155.3
2013-03-27 13:05:28:375;157.1
2013-03-27 13:05:28:613;160.05
2013-03-27 13:05:28:857;163.25
2013-03-27 13:05:29:87;166.25
2013-03-27 13:05:29:326;169.8
2013-03-27 13:05:29:570;172.2
2013-03-27 13:05:29:806;174.4
2013-03-27 13:05:30:43;176.8
2013-03-27 13:05:30:281;178.05
2013-03-27 13:05:30:519;180.05
2013-03-27 13:05:30:758;180.95
2013-03-27 13:05:30:994;182.95
2013-03-27 13:05:31:233;184.9
2013-03-27 13:05:31:469;186.2
2013-03-27 13:05:31:713;189.25
2013-03-27 13:05:31:993;189.9
2013-03-27 13:05:32:210;194.15
2013-03-27 13:05:32:449;197.8
2013-03-27 13:05:32:686;201.3
2013-03-27 13:05:32:925;205.85
2013-03-27 13:05:33:164;210.4
2013-03-27 13:05:33:399;213.75
2013-03-27 13:05:33:643;220.9
2013-03-27 13:05:33:880;226.05
2013-03-27 13:05:34:116;232.45
2013-03-27 13:05:34:356;238.5
2013-03-27 13:05:34:593;244.6
2013-03-27 13:05:34:830;249.4
2013-03-27 13:05:35:68;254.85
2013-03-27 13:05:35:305;259.1
2013-03-27 13:05:35:544;262.3
2013-03-27 13:05:35:785;264.85
2013-03-27 13:05:36:22;267.15
2013-03-27 13:05:36:260;270.75
2013-03-27 13:05:36:512;272.7
