2013-03-26 08:52:35:770;0;59
2013-03-26 08:52:36:304;01:00:00:534;52
2013-03-26 08:52:36:646;01:00:00:876;46
2013-03-26 08:52:37:28;01:00:01:258;42
2013-03-26 08:52:37:366;01:00:01:596;39
2013-03-26 08:52:37:774;01:00:02:04;36
2013-03-26 08:52:38:136;01:00:02:366;34
2013-03-26 08:52:38:732;01:00:02:962;32
2013-03-26 08:52:39:307;01:00:03:537;32
2013-03-26 08:52:39:852;01:00:04:82;32
2013-03-26 08:52:40:394;01:00:04:624;32
2013-03-26 08:52:40:955;01:00:05:185;32
2013-03-26 08:52:41:520;01:00:05:750;32
2013-03-26 08:52:42:60;01:00:06:290;32
2013-03-26 08:52:42:609;01:00:06:839;32
2013-03-26 08:52:43:186;01:00:07:416;32
2013-03-26 08:52:43:734;01:00:07:964;32
2013-03-26 08:52:44:274;01:00:08:504;32
2013-03-26 08:52:44:849;01:00:09:79;32
2013-03-26 08:52:45:417;01:00:09:647;32
2013-03-26 08:52:45:962;01:00:10:192;32
2013-03-26 08:52:46:510;01:00:10:740;32
2013-03-26 08:52:47:41;01:00:11:271;32
2013-03-26 08:52:47:572;01:00:11:802;32
2013-03-26 08:52:48:96;01:00:12:326;32
2013-03-26 08:52:48:692;01:00:12:922;32
2013-03-26 08:52:49:245;01:00:13:475;32
2013-03-26 08:52:49:800;01:00:14:30;32
2013-03-26 08:52:50:347;01:00:14:577;32
2013-03-26 08:52:50:882;01:00:15:112;32
2013-03-26 08:52:51:471;01:00:15:701;32
2013-03-26 08:52:52:54;01:00:16:284;32
2013-03-26 08:52:52:647;01:00:16:877;32
2013-03-26 08:52:53:199;01:00:17:429;32
2013-03-26 08:52:53:819;01:00:18:49;32
2013-03-26 08:52:54:385;01:00:18:615;32
2013-03-26 08:52:54:956;01:00:19:186;32
2013-03-26 08:52:55:543;01:00:19:773;32
2013-03-26 08:52:56:82;01:00:20:312;32
2013-03-26 08:52:56:662;01:00:20:892;32
2013-03-26 08:52:57:209;01:00:21:439;32
2013-03-26 08:52:57:785;01:00:22:15;32
2013-03-26 08:52:58:336;01:00:22:566;32
2013-03-26 08:52:58:884;01:00:23:114;32
2013-03-26 08:52:59:434;01:00:23:664;32
2013-03-26 08:52:59:991;01:00:24:221;33
2013-03-26 08:53:00:560;01:00:24:790;33
2013-03-26 08:53:00:912;01:00:25:142;39
2013-03-26 08:53:01:285;01:00:25:515;43
2013-03-26 08:53:01:630;01:00:25:860;48
2013-03-26 08:53:01:998;01:00:26:228;52
2013-03-26 08:53:02:352;01:00:26:582;56
2013-03-26 08:53:02:714;01:00:26:944;59
2013-03-26 08:53:03:72;01:00:27:302;61
2013-03-26 08:53:03:428;01:00:27:658;63
2013-03-26 08:53:03:766;01:00:27:996;65
2013-03-26 08:53:04:133;01:00:28:363;66
2013-03-26 08:53:04:489;01:00:28:719;67
2013-03-26 08:53:04:845;01:00:29:75;68
2013-03-26 08:53:05:258;01:00:29:488;68
2013-03-26 08:53:05:637;01:00:29:867;70
2013-03-26 08:53:05:993;01:00:30:223;72
2013-03-26 08:53:06:351;01:00:30:581;73
2013-03-26 08:53:06:695;01:00:30:925;78
2013-03-26 08:53:07:51;01:00:31:281;82
2013-03-26 08:53:07:401;01:00:31:631;86
2013-03-26 08:53:07:757;01:00:31:987;92
2013-03-26 08:53:08:123;01:00:32:353;97
2013-03-26 08:53:08:509;01:00:32:739;101
2013-03-26 08:53:08:943;01:00:33:173;104
2013-03-26 08:53:09:319;01:00:33:549;106
2013-03-26 08:53:09:703;01:00:33:933;108
2013-03-26 08:53:10:370;01:00:34:600;109
2013-03-26 08:53:11:39;01:00:35:269;109
2013-03-26 08:53:11:721;01:00:35:951;109
2013-03-26 08:53:12:394;01:00:36:624;109
2013-03-26 08:53:13:26;01:00:37:256;109
2013-03-26 08:53:13:698;01:00:37:928;109
2013-03-26 08:53:14:314;01:00:38:544;109
2013-03-26 08:53:14:958;01:00:39:188;109
2013-03-26 08:53:15:616;01:00:39:846;109
2013-03-26 08:53:16:257;01:00:40:487;109
2013-03-26 08:53:16:883;01:00:41:113;109
2013-03-26 08:53:17:527;01:00:41:757;109
2013-03-26 08:53:18:186;01:00:42:416;109
2013-03-26 08:53:18:863;01:00:43:93;109
2013-03-26 08:53:19:547;01:00:43:777;109
2013-03-26 08:53:20:186;01:00:44:416;109
2013-03-26 08:53:20:869;01:00:45:99;109
2013-03-26 08:53:21:576;01:00:45:806;109
2013-03-26 08:53:22:264;01:00:46:494;109
2013-03-26 08:53:22:928;01:00:47:158;109
2013-03-26 08:53:23:621;01:00:47:851;109
2013-03-26 08:53:24:314;01:00:48:544;109
2013-03-26 08:53:24:661;01:00:48:891;91
2013-03-26 08:53:25:19;01:00:49:249;77
2013-03-26 08:53:25:397;01:00:49:627;66
2013-03-26 08:53:25:752;01:00:49:982;58
2013-03-26 08:53:26:120;01:00:50:350;51
2013-03-26 08:53:26:524;01:00:50:754;46
2013-03-26 08:53:26:900;01:00:51:130;42
2013-03-26 08:53:27:276;01:00:51:506;39
2013-03-26 08:53:27:628;01:00:51:858;36
2013-03-26 08:53:27:974;01:00:52:204;34
2013-03-26 08:53:28:599;01:00:52:829;33
2013-03-26 08:53:29:184;01:00:53:414;33
2013-03-26 08:53:29:886;01:00:54:116;33
2013-03-26 08:53:30:436;01:00:54:666;33
2013-03-26 08:53:30:990;01:00:55:220;33
2013-03-26 08:53:31:550;01:00:55:780;33
2013-03-26 08:53:32:152;01:00:56:382;33
2013-03-26 08:53:32:712;01:00:56:942;33
2013-03-26 08:53:33:280;01:00:57:510;33
2013-03-26 08:53:33:927;01:00:58:157;33
2013-03-26 08:53:34:504;01:00:58:734;33
2013-03-26 08:53:35:67;01:00:59:297;33
2013-03-26 08:53:35:672;01:00:59:902;33
2013-03-26 08:53:36:62;01:01:00:292;35
2013-03-26 08:53:36:404;01:01:00:634;36
2013-03-26 08:53:36:758;01:01:00:988;46
2013-03-26 08:53:37:98;01:01:01:328;54
2013-03-26 08:53:37:484;01:01:01:714;60
2013-03-26 08:53:37:844;01:01:02:74;69
2013-03-26 08:53:38:192;01:01:02:422;76
2013-03-26 08:53:38:566;01:01:02:796;82
2013-03-26 08:53:38:964;01:01:03:194;87
2013-03-26 08:53:39:329;01:01:03:559;91
2013-03-26 08:53:39:695;01:01:03:925;94
2013-03-26 08:53:40:53;01:01:04:283;96
2013-03-26 08:53:40:400;01:01:04:630;98
2013-03-26 08:53:40:763;01:01:04:993;99
2013-03-26 08:53:41:161;01:01:05:391;100
2013-03-26 08:53:41:583;01:01:05:813;100
2013-03-26 08:53:41:943;01:01:06:173;99
2013-03-26 08:53:42:301;01:01:06:531;98
2013-03-26 08:53:42:681;01:01:06:911;93
2013-03-26 08:53:43:32;01:01:07:262;89
2013-03-26 08:53:43:379;01:01:07:609;86
2013-03-26 08:53:43:757;01:01:07:987;82
2013-03-26 08:53:44:133;01:01:08:363;78
2013-03-26 08:53:44:516;01:01:08:746;75
2013-03-26 08:53:44:877;01:01:09:107;73
2013-03-26 08:53:45:292;01:01:09:522;71
2013-03-26 08:53:45:657;01:01:09:887;69
2013-03-26 08:53:46:11;01:01:10:241;68
2013-03-26 08:53:46:374;01:01:10:604;67
2013-03-26 08:53:46:744;01:01:10:974;66
2013-03-26 08:53:47:110;01:01:11:340;66
2013-03-26 08:53:47:498;01:01:11:728;66
2013-03-26 08:53:47:860;01:01:12:90;66
2013-03-26 08:53:48:198;01:01:12:428;66
2013-03-26 08:53:48:582;01:01:12:812;66
2013-03-26 08:53:48:956;01:01:13:186;66
2013-03-26 08:53:49:338;01:01:13:568;66
2013-03-26 08:53:49:716;01:01:13:946;66
2013-03-26 08:53:50:70;01:01:14:300;66
2013-03-26 08:53:50:438;01:01:14:668;66
2013-03-26 08:53:50:798;01:01:15:28;66
2013-03-26 08:53:51:168;01:01:15:398;66
2013-03-26 08:53:51:546;01:01:15:776;66
2013-03-26 08:53:51:893;01:01:16:123;66
2013-03-26 08:53:52:254;01:01:16:484;66
2013-03-26 08:53:52:646;01:01:16:876;70
2013-03-26 08:53:53:190;01:01:17:420;73
2013-03-26 08:53:53:558;01:01:17:788;82
2013-03-26 08:53:53:952;01:01:18:182;89
2013-03-26 08:53:54:310;01:01:18:540;94
2013-03-26 08:53:54:728;01:01:18:958;98
2013-03-26 08:53:55:102;01:01:19:332;101
2013-03-26 08:53:55:505;01:01:19:735;104
2013-03-26 08:53:55:896;01:01:20:126;106
2013-03-26 08:53:56:278;01:01:20:508;108
2013-03-26 08:53:56:950;01:01:21:180;109
2013-03-26 08:53:57:622;01:01:21:852;109
2013-03-26 08:53:58:274;01:01:22:504;109
2013-03-26 08:53:58:653;01:01:22:883;91
2013-03-26 08:53:59:21;01:01:23:251;77
2013-03-26 08:53:59:387;01:01:23:617;66
2013-03-26 08:53:59:759;01:01:23:989;57
2013-03-26 08:54:00:169;01:01:24:399;50
2013-03-26 08:54:00:550;01:01:24:780;45
2013-03-26 08:54:00:924;01:01:25:154;41
2013-03-26 08:54:01:276;01:01:25:506;38
2013-03-26 08:54:01:676;01:01:25:906;36
2013-03-26 08:54:02:22;01:01:26:252;34
2013-03-26 08:54:02:612;01:01:26:842;32
2013-03-26 08:54:03:186;01:01:27:416;32
2013-03-26 08:54:03:768;01:01:27:998;32
2013-03-26 08:54:04:342;01:01:28:572;32
2013-03-26 08:54:04:934;01:01:29:164;32
2013-03-26 08:54:05:523;01:01:29:753;32
2013-03-26 08:54:06:97;01:01:30:327;32
2013-03-26 08:54:06:700;01:01:30:930;32
2013-03-26 08:54:07:260;01:01:31:490;32
2013-03-26 08:54:07:658;01:01:31:888;37
2013-03-26 08:54:08:19;01:01:32:249;39
2013-03-26 08:54:08:374;01:01:32:604;41
2013-03-26 08:54:08:744;01:01:32:974;54
2013-03-26 08:54:09:129;01:01:33:359;64
2013-03-26 08:54:09:510;01:01:33:740;72
2013-03-26 08:54:09:874;01:01:34:104;80
2013-03-26 08:54:10:226;01:01:34:456;86
2013-03-26 08:54:10:580;01:01:34:810;91
2013-03-26 08:54:10:944;01:01:35:174;95
2013-03-26 08:54:11:302;01:01:35:532;98
2013-03-26 08:54:11:638;01:01:35:868;93
2013-03-26 08:54:11:990;01:01:36:220;88
2013-03-26 08:54:12:328;01:01:36:558;85
2013-03-26 08:54:12:666;01:01:36:896;73
2013-03-26 08:54:13:04;01:01:37:234;63
2013-03-26 08:54:13:344;01:01:37:574;55
2013-03-26 08:54:13:693;01:01:37:923;49
2013-03-26 08:54:14:42;01:01:38:272;44
2013-03-26 08:54:14:404;01:01:38:634;40
2013-03-26 08:54:14:769;01:01:38:999;37
2013-03-26 08:54:15:118;01:01:39:348;35
2013-03-26 08:54:15:738;01:01:39:968;33
2013-03-26 08:54:16:312;01:01:40:542;33
2013-03-26 08:54:16:911;01:01:41:141;33
2013-03-26 08:54:17:488;01:01:41:718;33
2013-03-26 08:54:18:64;01:01:42:294;33
2013-03-26 08:54:18:664;01:01:42:894;33
2013-03-26 08:54:19:258;01:01:43:488;33
2013-03-26 08:54:19:656;01:01:43:886;40
2013-03-26 08:54:20:16;01:01:44:246;44
2013-03-26 08:54:20:396;01:01:44:626;47
2013-03-26 08:54:20:746;01:01:44:976;61
2013-03-26 08:54:21:94;01:01:45:324;72
2013-03-26 08:54:21:455;01:01:45:685;81
2013-03-26 08:54:21:814;01:01:46:44;88
2013-03-26 08:54:22:156;01:01:46:386;94
2013-03-26 08:54:22:511;01:01:46:741;99
2013-03-26 08:54:22:943;01:01:47:173;103
2013-03-26 08:54:23:347;01:01:47:577;106
2013-03-26 08:54:23:787;01:01:48:17;108
2013-03-26 08:54:24:456;01:01:48:686;109
2013-03-26 08:54:24:823;01:01:49:53;108
2013-03-26 08:54:25:202;01:01:49:432;108
2013-03-26 08:54:25:611;01:01:49:841;108
2013-03-26 08:54:25:946;01:01:50:176;96
2013-03-26 08:54:26:322;01:01:50:552;86
2013-03-26 08:54:26:706;01:01:50:936;73
2013-03-26 08:54:27:66;01:01:51:296;63
2013-03-26 08:54:27:420;01:01:51:650;55
2013-03-26 08:54:27:786;01:01:52:16;49
2013-03-26 08:54:28:132;01:01:52:362;44
2013-03-26 08:54:28:512;01:01:52:742;40
2013-03-26 08:54:28:880;01:01:53:110;37
2013-03-26 08:54:29:256;01:01:53:486;35
2013-03-26 08:54:29:845;01:01:54:75;33
2013-03-26 08:54:30:395;01:01:54:625;33
2013-03-26 08:54:30:760;01:01:54:990;37
2013-03-26 08:54:31:114;01:01:55:344;39
2013-03-26 08:54:31:504;01:01:55:734;40
2013-03-26 08:54:31:853;01:01:56:83;46
2013-03-26 08:54:32:237;01:01:56:467;50
2013-03-26 08:54:32:621;01:01:56:851;54
2013-03-26 08:54:32:970;01:01:57:200;57
2013-03-26 08:54:33:337;01:01:57:567;59
2013-03-26 08:54:33:717;01:01:57:947;61
2013-03-26 08:54:34:65;01:01:58:295;62
2013-03-26 08:54:34:431;01:01:58:661;63
2013-03-26 08:54:34:779;01:01:59:09;62
2013-03-26 08:54:35:132;01:01:59:362;62
2013-03-26 08:54:35:505;01:01:59:735;62
2013-03-26 08:54:35:857;01:02:00:87;55
2013-03-26 08:54:36:223;01:02:00:453;49
2013-03-26 08:54:36:560;01:02:00:790;45
2013-03-26 08:54:36:920;01:02:01:150;42
2013-03-26 08:54:37:270;01:02:01:500;39
2013-03-26 08:54:37:638;01:02:01:868;37
2013-03-26 08:54:37:994;01:02:02:224;35
2013-03-26 08:54:38:336;01:02:02:566;34
2013-03-26 08:54:39:30;01:02:03:260;33
2013-03-26 08:54:39:634;01:02:03:864;33
2013-03-26 08:54:40:214;01:02:04:444;33
2013-03-26 08:54:40:860;01:02:05:90;33
2013-03-26 08:54:41:389;01:02:05:619;33
2013-03-26 08:54:41:943;01:02:06:173;33
2013-03-26 08:54:42:536;01:02:06:766;33
2013-03-26 08:54:43:83;01:02:07:313;33
2013-03-26 08:54:43:703;01:02:07:933;33
2013-03-26 08:54:44:280;01:02:08:510;33
2013-03-26 08:54:44:833;01:02:09:63;33
2013-03-26 08:54:45:397;01:02:09:627;33
2013-03-26 08:54:45:937;01:02:10:167;33
2013-03-26 08:54:46:480;01:02:10:710;33
2013-03-26 08:54:46:835;01:02:11:65;34
2013-03-26 08:54:47:186;01:02:11:416;34
2013-03-26 08:54:47:639;01:02:11:869;34
2013-03-26 08:54:48:04;01:02:12:234;47
2013-03-26 08:54:48:364;01:02:12:594;57
2013-03-26 08:54:48:737;01:02:12:967;69
2013-03-26 08:54:49:89;01:02:13:319;78
2013-03-26 08:54:49:486;01:02:13:716;85
2013-03-26 08:54:49:849;01:02:14:79;91
2013-03-26 08:54:50:199;01:02:14:429;95
2013-03-26 08:54:50:553;01:02:14:783;98
2013-03-26 08:54:50:953;01:02:15:183;101
2013-03-26 08:54:51:343;01:02:15:573;103
